technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time
sift_fullscreen;Nexus S;Pixel 3XL;167;50;128;46;2;1380
sift_fullscreen;Nexus S;Nexus 4;167;50;157;45;20;470
sift_fullscreen;Nexus S;Nexus S;167;50;169;52;30;310
sift_fullscreen;Nexus S;Pixel 3a XL;167;50;163;48;25;820
sift_fullscreen;Nexus S;Nexus 6 ;167;50;155;47;21;1220
sift_fullscreen;Nexus S;Nexus 6p;167;50;153;47;22;1250
sift_fullscreen;Nexus S;Pixel 2;167;50;131;46;4;810
sift_fullscreen;Nexus S;Pixel 3;167;50;141;48;9;830
sift_fullscreen;Nexus S;Pixel 3A;167;50;141;48;25;826
sift_fullscreen;Pixel 3;Nexus5;170;52;162;51;24;1310
sift_fullscreen;Pixel 3;Nexus5x;170;52;167;50;29;1270
sift_fullscreen;Pixel 3;Pixel 2xl;170;52;169;51;30;2020
sift_fullscreen;Pixel 3;Pixel;170;52;167;50;28;1250
sift_fullscreen;Pixel 3;Pixel XL;170;52;167;51;28;1820
sift_fullscreen;Pixel 3;Pixel 3XL;170;52;164;52;27;2000
sift_fullscreen;Pixel 3;Nexus 4;170;52;161;48;25;1030
sift_fullscreen;Pixel 3;Nexus S;167;50;121;42;1;830
sift_fullscreen;Pixel 3;Pixel 3a XL;170;52;161;50;25;1340
sift_fullscreen;Pixel 3;Nexus 6 ;170;52;167;52;29;1800
sift_fullscreen;Pixel 3;Nexus 6p;170;52;162;51;28;1800
sift_fullscreen;Pixel 3;Pixel 2;170;52;160;49;26;1330
sift_fullscreen;Pixel 3;Pixel 3;170;52;169;52;30;1310
sift_fullscreen;Pixel 3;Pixel 3A;170;52;168;52;29;1400
surf_fullscreen;Nexus5;Nexus5;170;52;169;52;30;1710
surf_fullscreen;Nexus5;Nexus5x;170;52;166;49;27;1130
surf_fullscreen;Nexus5;Pixel 2xl;170;52;168;51;29;1420
surf_fullscreen;Nexus5;Pixel;170;52;167;50;28;1020
surf_fullscreen;Nexus5;Pixel XL;170;52;167;51;28;1230
surf_fullscreen;Nexus5;Pixel 3XL;170;52;167;51;28;1360
surf_fullscreen;Nexus5;Nexus 4;170;52;159;49;21;940
surf_fullscreen;Nexus5;Nexus S;167;50;151;41;17;770
surf_fullscreen;Nexus5;Pixel 3a XL;170;52;165;49;27;1050
surf_fullscreen;Nexus5;Nexus 6 ;170;52;167;51;28;1480
surf_fullscreen;Nexus5;Nexus 6p;170;52;161;50;28;1400
surf_fullscreen;Nexus5;Pixel 2;170;52;162;51;27;1120
surf_fullscreen;Nexus5;Pixel 3;170;52;167;50;28;1040
surf_fullscreen;Nexus5;Pixel 3A;170;52;167;51;28;1170
surf_fullscreen;Nexus S;Nexus5;167;50;164;48;26;700
surf_fullscreen;Nexus S;Nexus5x;167;50;159;44;22;590
surf_fullscreen;Nexus S;Pixel 2xl;167;50;164;48;26;920
surf_fullscreen;Nexus S;Pixel;167;50;160;45;23;610
surf_fullscreen;Nexus S;Pixel XL;167;50;161;46;24;860
surf_fullscreen;Nexus S;Pixel 3XL;167;50;163;48;25;970
surf_fullscreen;Nexus S;Nexus 4;167;50;158;44;22;420
surf_fullscreen;Nexus S;Nexus S;167;50;169;50;30;380
surf_fullscreen;Nexus S;Pixel 3a XL;167;50;157;44;19;610
surf_fullscreen;Nexus S;Nexus 6 ;167;50;162;47;24;870
surf_fullscreen;Nexus S;Nexus 6p;167;50;156;46;23;840
surf_fullscreen;Nexus S;Pixel 2;167;50;152;44;20;580
surf_fullscreen;Nexus S;Pixel 3;167;50;159;45;21;640
surf_fullscreen;Nexus S;Pixel 3A;167;50;158;45;21;660
surf_fullscreen;Pixel 3;Nexus5;170;52;156;50;28;1050
surf_fullscreen;Pixel 3;Nexus5x;170;52;166;50;27;1050
surf_fullscreen;Pixel 3;Pixel 2xl;170;52;167;50;29;1340
surf_fullscreen;Pixel 3;Pixel;170;52;166;50;27;1110
surf_fullscreen;Pixel 3;Pixel XL;170;52;167;51;28;1270
surf_fullscreen;Pixel 3;Pixel 3XL;170;52;165;49;25;1350
surf_fullscreen;Pixel 3;Nexus 4;170;52;167;48;27;830
surf_fullscreen;Pixel 3;Nexus S;167;50;153;42;17;660
surf_fullscreen;Pixel 3;Pixel 3a XL;170;52;165;49;26;1010
surf_fullscreen;Pixel 3;Nexus 6 ;170;52;167;51;28;1260
surf_fullscreen;Pixel 3;Nexus 6p;170;52;159;48;25;1250
surf_fullscreen;Pixel 3;Pixel 2;170;52;160;50;26;1080
surf_fullscreen;Pixel 3;Pixel 3;170;52;169;52;30;1320
surf_fullscreen;Pixel 3;Pixel 3A;170;52;168;52;29;1400
